"T","U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
295.222,0.0393174,0.00136769,0,8.19489,1.04258,0.02,-0.01
295.456,0.0370884,0.00137031,0,8.19771,1.05916,0.02,-0.01
295.713,0.03488,0.00137112,0,8.20058,1.07556,0.02,-0.01
295.995,0.0326948,0.00137014,0,8.20346,1.09176,0.02,-0.01
296.302,0.0305355,0.00136741,0,8.20637,1.10778,0.02,-0.01
296.635,0.0284045,0.00136294,0,8.20928,1.12362,0.02,-0.01
296.994,0.0263043,0.00135672,0,8.21219,1.13927,0.02,-0.01
297.381,0.0242372,0.00134871,0,8.2151,1.15474,0.02,-0.01
297.794,0.0222058,0.00133877,0,8.218,1.17003,0.02,-0.01
298.236,0.0202127,0.00132668,0,8.22088,1.18515,0.02,-0.01
298.704,0.0182609,0.00131207,0,8.22375,1.20009,0.02,-0.01
299.199,0.016354,0.00129444,0,8.22659,1.21486,0.02,-0.01
299.721,0.0144961,0.0012731,0,8.2294,1.22946,0.02,-0.01
300.268,0.0126924,0.00124717,0,8.23219,1.24389,0.02,-0.01
300.84,0.010949,0.00121556,0,8.23496,1.25816,0.02,-0.01
301.436,0.00927333,0.00117703,0,8.23769,1.27226,0.02,-0.01
302.055,0.00767427,0.00113017,0,8.2404,1.2862,0.02,-0.01
302.695,0.00616207,0.00107349,0,8.24307,1.29998,0.02,-0.01
303.354,0.00474835,0.00100549,0,8.24571,1.31359,0.02,-0.01
304.033,0.00344594,0.000924831,0,8.2483,1.32705,0.02,-0.01
304.728,0.00226854,0.00083042,0,8.25084,1.34036,0.02,-0.01
293.5,0.17445,0,0,8.25847,0,0.03,-0.01
293.5,0.174154,3.99959e-05,0,8.2538,0.0286091,0.03,-0.01
293.5,0.174207,0.000207859,0,8.24593,0.0568883,0.03,-0.01
293.5,0.173639,0.000335339,0,8.23938,0.0848413,0.03,-0.01
293.5,0.172961,0.000456372,0,8.23281,0.112472,0.03,-0.01
293.5,0.172083,0.000566328,0,8.2265,0.139784,0.03,-0.01
293.5,0.17104,0.000665814,0,8.22047,0.166781,0.03,-0.01
293.5,0.169847,0.000757998,0,8.21472,0.193467,0.03,-0.01
293.5,0.168516,0.000844502,0,8.20926,0.219845,0.03,-0.01
293.501,0.16706,0.000926586,0,8.20411,0.245919,0.03,-0.01
293.501,0.165487,0.00100522,0,8.19927,0.271692,0.03,-0.01
293.501,0.163805,0.00108112,0,8.19473,0.297168,0.03,-0.01
293.501,0.16202,0.00115489,0,8.1905,0.322351,0.03,-0.01
293.502,0.160137,0.00122696,0,8.18657,0.347243,0.03,-0.01
293.503,0.158162,0.00129771,0,8.18295,0.371847,0.03,-0.01
293.503,0.156098,0.00136742,0,8.17963,0.396169,0.03,-0.01
293.504,0.153949,0.00143633,0,8.1766,0.420209,0.03,-0.01
293.505,0.151719,0.0015046,0,8.17387,0.443973,0.03,-0.01
293.507,0.149409,0.00157237,0,8.17142,0.467462,0.03,-0.01
293.509,0.147023,0.00163973,0,8.16926,0.49068,0.03,-0.01
293.511,0.144564,0.00170674,0,8.16738,0.513631,0.03,-0.01
293.514,0.142033,0.00177342,0,8.16577,0.536317,0.03,-0.01
293.518,0.139434,0.00183977,0,8.16443,0.558742,0.03,-0.01
293.523,0.136767,0.00190576,0,8.16335,0.580908,0.03,-0.01
293.529,0.134036,0.00197134,0,8.16253,0.602818,0.03,-0.01
293.536,0.131244,0.00203644,0,8.16195,0.624476,0.03,-0.01
293.544,0.128391,0.00210095,0,8.16162,0.645883,0.03,-0.01
293.555,0.125481,0.00216477,0,8.16153,0.667044,0.03,-0.01
293.568,0.122517,0.00222776,0,8.16167,0.687961,0.03,-0.01
293.584,0.1195,0.00228978,0,8.16202,0.708637,0.03,-0.01
293.603,0.116435,0.00235067,0,8.16259,0.729075,0.03,-0.01
293.625,0.113323,0.00241025,0,8.16337,0.749276,0.03,-0.01
293.652,0.110168,0.00246834,0,8.16434,0.769245,0.03,-0.01
293.684,0.106973,0.00252475,0,8.1655,0.788983,0.03,-0.01
293.722,0.103742,0.00257927,0,8.16684,0.808494,0.03,-0.01
293.766,0.100478,0.00263169,0,8.16835,0.82778,0.03,-0.01
293.818,0.0971846,0.0026818,0,8.17002,0.846844,0.03,-0.01
293.878,0.093866,0.00272938,0,8.17185,0.865687,0.03,-0.01
293.948,0.0905261,0.00277422,0,8.17381,0.884314,0.03,-0.01
294.028,0.0871691,0.00281612,0,8.17591,0.902725,0.03,-0.01
294.12,0.0837993,0.00285485,0,8.17813,0.920924,0.03,-0.01
294.225,0.080421,0.00289024,0,8.18046,0.938914,0.03,-0.01
294.344,0.0770388,0.0029221,0,8.1829,0.956696,0.03,-0.01
294.479,0.0736571,0.00295027,0,8.18542,0.974272,0.03,-0.01
294.631,0.0702804,0.00297463,0,8.18803,0.991647,0.03,-0.01
294.801,0.0669134,0.00299508,0,8.19071,1.00882,0.03,-0.01
294.991,0.0635604,0.00301153,0,8.19345,1.0258,0.03,-0.01
295.202,0.0602261,0.00302395,0,8.19625,1.04258,0.03,-0.01
295.434,0.0569148,0.00303233,0,8.19908,1.05916,0.03,-0.01
295.69,0.0536306,0.0030367,0,8.20195,1.07556,0.03,-0.01
295.97,0.0503777,0.00303708,0,8.20484,1.09176,0.03,-0.01
296.275,0.0471602,0.00303351,0,8.20775,1.10778,0.03,-0.01
296.607,0.0439817,0.00302597,0,8.21066,1.12362,0.03,-0.01
296.965,0.0408463,0.00301442,0,8.21357,1.13927,0.03,-0.01
297.35,0.0377578,0.00299867,0,8.21648,1.15474,0.03,-0.01
297.762,0.0347201,0.00297841,0,8.21937,1.17003,0.03,-0.01
298.202,0.0317375,0.00295311,0,8.22224,1.18515,0.03,-0.01
298.669,0.0288149,0.00292196,0,8.22509,1.20009,0.03,-0.01
299.164,0.0259577,0.00288385,0,8.22792,1.21486,0.03,-0.01
299.685,0.0231724,0.0028373,0,8.23071,1.22946,0.03,-0.01
300.232,0.0204668,0.00278047,0,8.23348,1.24389,0.03,-0.01
300.804,0.0178501,0.0027111,0,8.23621,1.25816,0.03,-0.01
301.4,0.0153329,0.00262659,0,8.23891,1.27226,0.03,-0.01
302.019,0.0129282,0.00252411,0,8.24157,1.2862,0.03,-0.01
302.659,0.0106503,0.00240064,0,8.24418,1.29998,0.03,-0.01
303.32,0.00851552,0.00225325,0,8.24676,1.31359,0.03,-0.01
303.999,0.00654162,0.00207933,0,8.24928,1.32705,0.03,-0.01
304.695,0.00474725,0.00187688,0,8.25174,1.34036,0.03,-0.01
293.5,0.23025,0,0,8.25864,0,0.04,-0.01
293.5,0.229893,0.000108658,0,8.2539,0.0286091,0.04,-0.01
293.5,0.229862,0.000360027,0,8.24599,0.0568883,0.04,-0.01
293.5,0.229153,0.000579117,0,8.23949,0.0848413,0.04,-0.01
293.5,0.228289,0.000782113,0,8.23296,0.112472,0.04,-0.01
293.5,0.227181,0.000969738,0,8.22669,0.139784,0.04,-0.01
293.5,0.225861,0.00114134,0,8.22069,0.166781,0.04,-0.01
293.5,0.22435,0.00130115,0,8.21498,0.193467,0.04,-0.01
293.5,0.222662,0.00145165,0,8.20956,0.219845,0.04,-0.01
293.501,0.22081,0.00159482,0,8.20444,0.245919,0.04,-0.01
293.501,0.218807,0.00173221,0,8.19963,0.271692,0.04,-0.01
293.501,0.216661,0.00186503,0,8.19512,0.297168,0.04,-0.01
293.501,0.21438,0.00199424,0,8.19092,0.322351,0.04,-0.01
293.502,0.211972,0.0021206,0,8.18702,0.347243,0.04,-0.01
293.502,0.209442,0.00224475,0,8.18342,0.371847,0.04,-0.01
293.503,0.206795,0.00236716,0,8.18013,0.396169,0.04,-0.01
293.504,0.204036,0.00248824,0,8.17713,0.420209,0.04,-0.01
293.505,0.201169,0.00260828,0,8.17442,0.443973,0.04,-0.01
293.507,0.198198,0.00272753,0,8.17201,0.467462,0.04,-0.01
293.509,0.195127,0.00284613,0,8.16987,0.49068,0.04,-0.01
293.511,0.191957,0.00296419,0,8.16802,0.513631,0.04,-0.01
293.514,0.188693,0.00308177,0,8.16644,0.536317,0.04,-0.01
293.517,0.185338,0.00319886,0,8.16513,0.558742,0.04,-0.01
293.522,0.181893,0.00331541,0,8.16407,0.580908,0.04,-0.01
293.528,0.178362,0.00343135,0,8.16328,0.602818,0.04,-0.01
293.535,0.174749,0.00354654,0,8.16274,0.624476,0.04,-0.01
293.543,0.171055,0.00366083,0,8.16243,0.645883,0.04,-0.01
293.554,0.167284,0.00377402,0,8.16237,0.667044,0.04,-0.01
293.566,0.16344,0.0038859,0,8.16253,0.687961,0.04,-0.01
293.581,0.159525,0.00399621,0,8.16292,0.708637,0.04,-0.01
293.6,0.155543,0.00410467,0,8.16351,0.729075,0.04,-0.01
293.622,0.151498,0.00421099,0,8.16432,0.749276,0.04,-0.01
